ID,Gene Name,Species,KEGG_PATHWAY
ENSMUST00000036493,"ATPase, Na+/K+ transporting, alpha 1 polypeptide(Atp1a1)",Mus musculus,"mmu04022:cGMP-PKG signaling pathway,mmu04024:cAMP signaling pathway,mmu04260:Cardiac muscle contraction,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04911:Insulin secretion,mmu04918:Thyroid hormone synthesis,mmu04919:Thyroid hormone signaling pathway,mmu04925:Aldosterone synthesis and secretion,mmu04960:Aldosterone-regulated sodium reabsorption,mmu04961:Endocrine and other factor-regulated calcium reabsorption,mmu04964:Proximal tubule bicarbonate reclamation,mmu04970:Salivary secretion,mmu04971:Gastric acid secretion,mmu04972:Pancreatic secretion,mmu04973:Carbohydrate digestion and absorption,mmu04974:Protein digestion and absorption,mmu04976:Bile secretion,mmu04978:Mineral absorption,"
ENSMUST00000199856,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3(Agap3)",Mus musculus,"mmu04144:Endocytosis,"
ENSMUST00000237272,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(Arap3)",Mus musculus,"mmu04015:Rap1 signaling pathway,mmu04024:cAMP signaling pathway,mmu04144:Endocytosis,"
ENSMUST00000229010,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2(Acap2)",Mus musculus,"mmu04144:Endocytosis,"
ENSMUST00000109887,B cell leukemia/lymphoma 11B(Bcl11b),Mus musculus,"mmu05202:Transcriptional misregulation in cancer,"
ENSMUST00000230912,BCL2-interacting killer(Bik),Mus musculus,"mmu01522:Endocrine resistance,"
ENSMUST00000140436,BCL2-like 1(Bcl2l1),Mus musculus,"mmu01521:EGFR tyrosine kinase inhibitor resistance,mmu01524:Platinum drug resistance,mmu04014:Ras signaling pathway,mmu04064:NF-kappa B signaling pathway,mmu04115:p53 signaling pathway,mmu04137:Mitophagy - animal,mmu04140:Autophagy - animal,mmu04151:PI3K-Akt signaling pathway,mmu04210:Apoptosis,mmu04215:Apoptosis - multiple species,mmu04621:NOD-like receptor signaling pathway,mmu04630:JAK-STAT signaling pathway,mmu05012:Parkinson disease,mmu05014:Amyotrophic lateral sclerosis,mmu05022:Pathways of neurodegeneration - multiple diseases,mmu05145:Toxoplasmosis,mmu05162:Measles,mmu05166:Human T-cell leukemia virus 1 infection,mmu05168:Herpes simplex virus 1 infection,mmu05170:Human immunodeficiency virus 1 infection,mmu05200:Pathways in cancer,mmu05202:Transcriptional misregulation in cancer,mmu05212:Pancreatic cancer,mmu05220:Chronic myeloid leukemia,mmu05222:Small cell lung cancer,mmu05225:Hepatocellular carcinoma,mmu05417:Lipid and atherosclerosis,"
ENSMUST00000020692,BTG anti-proliferation factor 2(Btg2),Mus musculus,"mmu03018:RNA degradation,"
ENSMUST00000038341,"BUB1B, mitotic checkpoint serine/threonine kinase(Bub1b)",Mus musculus,"mmu04110:Cell cycle,mmu05166:Human T-cell leukemia virus 1 infection,"
ENSMUST00000207442,BUB3 mitotic checkpoint protein(Bub3),Mus musculus,"mmu04110:Cell cycle,mmu05166:Human T-cell leukemia virus 1 infection,"
ENSMUST00000033269,C-terminal binding protein 2(Ctbp2),Mus musculus,"mmu04310:Wnt signaling pathway,mmu04330:Notch signaling pathway,mmu05200:Pathways in cancer,mmu05220:Chronic myeloid leukemia,"
ENSMUST00000084724,"C9orf72, member of C9orf72-SMCR8 complex(C9orf72)",Mus musculus,"mmu04140:Autophagy - animal,mmu05014:Amyotrophic lateral sclerosis,mmu05022:Pathways of neurodegeneration - multiple diseases,"
ENSMUST00000031382,CAP-GLY domain containing linker protein 1(Clip1),Mus musculus,"mmu04150:mTOR signaling pathway,"
ENSMUST00000029456,CD2 antigen(Cd2),Mus musculus,"mmu04514:Cell adhesion molecules,mmu04640:Hematopoietic cell lineage,"
ENSMUST00000032486,CD27 antigen(Cd27),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,"
ENSMUST00000210372,CD37 antigen(Cd37),Mus musculus,"mmu04640:Hematopoietic cell lineage,"
ENSMUST00000017799,CD40 antigen(Cd40),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,mmu04064:NF-kappa B signaling pathway,mmu04514:Cell adhesion molecules,mmu04620:Toll-like receptor signaling pathway,mmu04672:Intestinal immune network for IgA production,mmu05144:Malaria,mmu05145:Toxoplasmosis,mmu05166:Human T-cell leukemia virus 1 infection,mmu05169:Epstein-Barr virus infection,mmu05202:Transcriptional misregulation in cancer,mmu05310:Asthma,mmu05320:Autoimmune thyroid disease,mmu05322:Systemic lupus erythematosus,mmu05330:Allograft rejection,mmu05340:Primary immunodeficiency,mmu05416:Viral myocarditis,mmu05417:Lipid and atherosclerosis,"
ENSMUST00000229104,"CD47 antigen (Rh-related antigen, integrin-associated signal transducer)(Cd47)",Mus musculus,"mmu04512:ECM-receptor interaction,"
"ENSMUST00000107926, ENSMUST00000030179",CD72 antigen(Cd72),Mus musculus,"mmu04662:B cell receptor signaling pathway,"
ENSMUST00000109626,CYLD lysine 63 deubiquitinase(Cyld),Mus musculus,"mmu04064:NF-kappa B signaling pathway,mmu04217:Necroptosis,mmu04380:Osteoclast differentiation,mmu04622:RIG-I-like receptor signaling pathway,mmu04625:C-type lectin receptor signaling pathway,"
ENSMUST00000216830,D-aspartate oxidase(Ddo),Mus musculus,"mmu00250:Alanine, aspartate and glutamate metabolism,mmu00470:D-Amino acid metabolism,mmu01100:Metabolic pathways,mmu04146:Peroxisome,"
ENSMUST00000017974,DEXH (Asp-Glu-X-His) box polypeptide 58(Dhx58),Mus musculus,"mmu04622:RIG-I-like receptor signaling pathway,"
ENSMUST00000009236,"Der1-like domain family, member 3(Derl3)",Mus musculus,"mmu04141:Protein processing in endoplasmic reticulum,"
ENSMUST00000118163,Dmx-like 2(Dmxl2),Mus musculus,"mmu04142:Lysosome,"
ENSMUST00000022734,DnaJ heat shock protein family (Hsp40) member C3(Dnajc3),Mus musculus,"mmu04141:Protein processing in endoplasmic reticulum,mmu05164:Influenza A,"
ENSMUST00000061721,E2F transcription factor 2(E2f2),Mus musculus,"mmu01522:Endocrine resistance,mmu04110:Cell cycle,mmu04218:Cellular senescence,mmu04934:Cushing syndrome,mmu05160:Hepatitis C,mmu05161:Hepatitis B,mmu05163:Human cytomegalovirus infection,mmu05166:Human T-cell leukemia virus 1 infection,mmu05167:Kaposi sarcoma-associated herpesvirus infection,mmu05169:Epstein-Barr virus infection,mmu05200:Pathways in cancer,mmu05206:MicroRNAs in cancer,mmu05212:Pancreatic cancer,mmu05214:Glioma,mmu05215:Prostate cancer,mmu05218:Melanoma,mmu05219:Bladder cancer,mmu05220:Chronic myeloid leukemia,mmu05222:Small cell lung cancer,mmu05223:Non-small cell lung cancer,mmu05224:Breast cancer,mmu05225:Hepatocellular carcinoma,mmu05226:Gastric cancer,"
ENSMUST00000028609,E74-like factor 5(Elf5),Mus musculus,"mmu04917:Prolactin signaling pathway,"
ENSMUST00000190337,EYA transcriptional coactivator and phosphatase 1(Eya1),Mus musculus,"mmu05202:Transcriptional misregulation in cancer,"
ENSMUST00000006614,Eph receptor A2(Epha2),Mus musculus,"mmu04010:MAPK signaling pathway,mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04360:Axon guidance,"
ENSMUST00000030420,Eph receptor A8(Epha8),Mus musculus,"mmu04360:Axon guidance,"
ENSMUST00000105846,Eph receptor B2(Ephb2),Mus musculus,"mmu04360:Axon guidance,"
ENSMUST00000006112,Eph receptor B3(Ephb3),Mus musculus,"mmu04360:Axon guidance,"
ENSMUST00000056365,EvC ciliary complex subunit 2(Evc2),Mus musculus,"mmu04340:Hedgehog signaling pathway,"
ENSMUST00000047951,F-box protein 2(Fbxo2),Mus musculus,"mmu04120:Ubiquitin mediated proteolysis,mmu04141:Protein processing in endoplasmic reticulum,"
ENSMUST00000021674,FBJ osteosarcoma oncogene(Fos),Mus musculus,"mmu01522:Endocrine resistance,mmu04010:MAPK signaling pathway,mmu04024:cAMP signaling pathway,mmu04210:Apoptosis,mmu04380:Osteoclast differentiation,mmu04620:Toll-like receptor signaling pathway,mmu04657:IL-17 signaling pathway,mmu04658:Th1 and Th2 cell differentiation,mmu04659:Th17 cell differentiation,mmu04660:T cell receptor signaling pathway,mmu04662:B cell receptor signaling pathway,mmu04668:TNF signaling pathway,mmu04713:Circadian entrainment,mmu04725:Cholinergic synapse,mmu04728:Dopaminergic synapse,mmu04915:Estrogen signaling pathway,mmu04917:Prolactin signaling pathway,mmu04921:Oxytocin signaling pathway,mmu04926:Relaxin signaling pathway,mmu04928:Parathyroid hormone synthesis, secretion and action,mmu04932:Non-alcoholic fatty liver disease,mmu04935:Growth hormone synthesis, secretion and action,mmu05031:Amphetamine addiction,mmu05132:Salmonella infection,mmu05133:Pertussis,mmu05135:Yersinia infection,mmu05140:Leishmaniasis,mmu05142:Chagas disease,mmu05161:Hepatitis B,mmu05162:Measles,mmu05166:Human T-cell leukemia virus 1 infection,mmu05167:Kaposi sarcoma-associated herpesvirus infection,mmu05170:Human immunodeficiency virus 1 infection,mmu05171:Coronavirus disease - COVID-19,mmu05200:Pathways in cancer,mmu05207:Chemical carcinogenesis - receptor activation,mmu05208:Chemical carcinogenesis - reactive oxygen species,mmu05210:Colorectal cancer,mmu05224:Breast cancer,mmu05231:Choline metabolism in cancer,mmu05235:PD-L1 expression and PD-1 checkpoint pathway in cancer,mmu05323:Rheumatoid arthritis,mmu05417:Lipid and atherosclerosis,mmu05418:Fluid shear stress and atherosclerosis,"
ENSMUST00000159232,"FEV transcription factor, ETS family member(Fev)",Mus musculus,"mmu05202:Transcriptional misregulation in cancer,"
ENSMUST00000030693,"FGR proto-oncogene, Src family tyrosine kinase(Fgr)",Mus musculus,"mmu04062:Chemokine signaling pathway,"
ENSMUST00000031653,FMS-like tyrosine kinase 1(Flt1),Mus musculus,"mmu04010:MAPK signaling pathway,mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04020:Calcium signaling pathway,mmu04066:HIF-1 signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04510:Focal adhesion,mmu05202:Transcriptional misregulation in cancer,mmu05323:Rheumatoid arthritis,"
ENSMUST00000061274,G protein-coupled receptor 156(Gpr156),Mus musculus,"mmu04080:Neuroactive ligand-receptor interaction,"
ENSMUST00000115624,G protein-coupled receptor 83(Gpr83),Mus musculus,"mmu04080:Neuroactive ligand-receptor interaction,"
ENSMUST00000037796,GDP-mannose pyrophosphorylase A(Gmppa),Mus musculus,"mmu00051:Fructose and mannose metabolism,mmu00520:Amino sugar and nucleotide sugar metabolism,mmu01100:Metabolic pathways,mmu01240:Biosynthesis of cofactors,mmu01250:Biosynthesis of nucleotide sugars,"
ENSMUST00000087877,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus(Gnas)",Mus musculus,"mmu01522:Endocrine resistance,mmu04015:Rap1 signaling pathway,mmu04020:Calcium signaling pathway,mmu04024:cAMP signaling pathway,mmu04072:Phospholipase D signaling pathway,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04270:Vascular smooth muscle contraction,mmu04540:Gap junction,mmu04611:Platelet activation,mmu04713:Circadian entrainment,mmu04714:Thermogenesis,mmu04724:Glutamatergic synapse,mmu04726:Serotonergic synapse,mmu04728:Dopaminergic synapse,mmu04730:Long-term depression,mmu04750:Inflammatory mediator regulation of TRP channels,mmu04911:Insulin secretion,mmu04912:GnRH signaling pathway,mmu04913:Ovarian steroidogenesis,mmu04915:Estrogen signaling pathway,mmu04916:Melanogenesis,mmu04918:Thyroid hormone synthesis,mmu04921:Oxytocin signaling pathway,mmu04922:Glucagon signaling pathway,mmu04923:Regulation of lipolysis in adipocytes,mmu04924:Renin secretion,mmu04925:Aldosterone synthesis and secretion,mmu04926:Relaxin signaling pathway,mmu04927:Cortisol synthesis and secretion,mmu04928:Parathyroid hormone synthesis, secretion and action,mmu04934:Cushing syndrome,mmu04935:Growth hormone synthesis, secretion and action,mmu04961:Endocrine and other factor-regulated calcium reabsorption,mmu04962:Vasopressin-regulated water reabsorption,mmu04970:Salivary secretion,mmu04971:Gastric acid secretion,mmu04972:Pancreatic secretion,mmu04976:Bile secretion,mmu05012:Parkinson disease,mmu05030:Cocaine addiction,mmu05031:Amphetamine addiction,mmu05032:Morphine addiction,mmu05034:Alcoholism,mmu05142:Chagas disease,mmu05146:Amoebiasis,mmu05163:Human cytomegalovirus infection,mmu05165:Human papillomavirus infection,mmu05200:Pathways in cancer,mmu05207:Chemical carcinogenesis - receptor activation,mmu05414:Dilated cardiomyopathy,"
ENSMUST00000179285,H4 histone 16(H4f16),Mus musculus,"mmu04613:Neutrophil extracellular trap formation,mmu05034:Alcoholism,mmu05203:Viral carcinogenesis,mmu05322:Systemic lupus erythematosus,"
ENSMUST00000059270,HEAT repeat containing 1(Heatr1),Mus musculus,"mmu03008:Ribosome biogenesis in eukaryotes,"
ENSMUST00000042824,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(Herc1),Mus musculus,"mmu04120:Ubiquitin mediated proteolysis,"
ENSMUST00000108113,HNF1 homeobox B(Hnf1b),Mus musculus,"mmu04950:Maturity onset diabetes of the young,"
ENSMUST00000020664,IL2 inducible T cell kinase(Itk),Mus musculus,"mmu04062:Chemokine signaling pathway,mmu04660:T cell receptor signaling pathway,mmu04670:Leukocyte transendothelial migration,"
ENSMUST00000077890,IQ motif containing E(Iqce),Mus musculus,"mmu04340:Hedgehog signaling pathway,"
ENSMUST00000068603,IQ motif containing GTPase activating protein 2(Iqgap2),Mus musculus,"mmu04810:Regulation of actin cytoskeleton,"
ENSMUST00000176044,"ISL1 transcription factor, LIM/homeodomain(Isl1)",Mus musculus,"mmu04550:Signaling pathways regulating pluripotency of stem cells,"
ENSMUST00000219745,KISS1 receptor(Kiss1r),Mus musculus,"mmu04080:Neuroactive ligand-receptor interaction,mmu04929:GnRH secretion,"
ENSMUST00000178033,KiSS-1 metastasis-suppressor(Kiss1),Mus musculus,"mmu04080:Neuroactive ligand-receptor interaction,mmu04929:GnRH secretion,"
ENSMUST00000107619,Kruppel-like factor 4 (gut)(Klf4),Mus musculus,"mmu04550:Signaling pathways regulating pluripotency of stem cells,mmu05207:Chemical carcinogenesis - receptor activation,"
ENSMUST00000031555,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(Lfng),Mus musculus,"mmu00514:Other types of O-glycan biosynthesis,mmu04330:Notch signaling pathway,mmu05165:Human papillomavirus infection,"
ENSMUST00000171588,LIF receptor alpha(Lifr),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,mmu04550:Signaling pathways regulating pluripotency of stem cells,mmu04630:JAK-STAT signaling pathway,"
ENSMUST00000026269,LIM domains containing 1(Limd1),Mus musculus,"mmu04390:Hippo signaling pathway,mmu04392:Hippo signaling pathway - multiple species,"
ENSMUST00000177736,LLGL2 scribble cell polarity complex component(Llgl2),Mus musculus,"mmu04390:Hippo signaling pathway,mmu04530:Tight junction,mmu05165:Human papillomavirus infection,"
ENSMUST00000170773,MICAL-like 2(Micall2),Mus musculus,"mmu04530:Tight junction,"
ENSMUST00000111596,MLX interacting protein(Mlxip),Mus musculus,"mmu04931:Insulin resistance,mmu04932:Non-alcoholic fatty liver disease,"
ENSMUST00000147567,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase(Nagpa),Mus musculus,"mmu04142:Lysosome,"
ENSMUST00000055409,N-acetylglutamate synthase(Nags),Mus musculus,"mmu00220:Arginine biosynthesis,mmu01100:Metabolic pathways,mmu01210:2-Oxocarboxylic acid metabolism,mmu01230:Biosynthesis of amino acids,"
ENSMUST00000235795,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1(Ndst1),Mus musculus,"mmu00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,mmu01100:Metabolic pathways,"
ENSMUST00000023085,NADH:ubiquinone oxidoreductase subunit A6(Ndufa6),Mus musculus,"mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu04714:Thermogenesis,mmu04723:Retrograde endocannabinoid signaling,mmu04932:Non-alcoholic fatty liver disease,mmu05010:Alzheimer disease,mmu05012:Parkinson disease,mmu05014:Amyotrophic lateral sclerosis,mmu05016:Huntington disease,mmu05020:Prion disease,mmu05022:Pathways of neurodegeneration - multiple diseases,mmu05208:Chemical carcinogenesis - reactive oxygen species,mmu05415:Diabetic cardiomyopathy,"
ENSMUST00000042844,"NBL1, DAN family BMP antagonist(Nbl1)",Mus musculus,"mmu04350:TGF-beta signaling pathway,"
ENSMUST00000184560,"NLR family, pyrin domain containing 6(Nlrp6)",Mus musculus,"mmu04621:NOD-like receptor signaling pathway,"
ENSMUST00000086028,NME/NM23 family member 7(Nme7),Mus musculus,"mmu00230:Purine metabolism,mmu00240:Pyrimidine metabolism,mmu00983:Drug metabolism - other enzymes,mmu01100:Metabolic pathways,mmu01232:Nucleotide metabolism,mmu01240:Biosynthesis of cofactors,"
ENSMUST00000035780,OMA1 zinc metallopeptidase(Oma1),Mus musculus,"mmu05017:Spinocerebellar ataxia,"
ENSMUST00000017126,POM121 membrane glycoprotein-like 2 (rat)(Pom121l2),Mus musculus,"mmu03013:Nucleocytoplasmic transport,mmu05014:Amyotrophic lateral sclerosis,"
ENSMUST00000025271,"POU domain, class 5, transcription factor 1(Pou5f1)",Mus musculus,"mmu04550:Signaling pathways regulating pluripotency of stem cells,"
ENSMUST00000030902,PR domain containing 16(Prdm16),Mus musculus,"mmu00310:Lysine degradation,mmu01100:Metabolic pathways,mmu04714:Thermogenesis,"
ENSMUST00000091900,PR domain containing 6(Prdm6),Mus musculus,"mmu00310:Lysine degradation,mmu01100:Metabolic pathways,"
ENSMUST00000204087,RAB11 family interacting protein 5 (class I)(Rab11fip5),Mus musculus,"mmu04144:Endocytosis,"
ENSMUST00000237438,"RAB1B, member RAS oncogene family(Rab1b)",Mus musculus,"mmu05134:Legionellosis,"
ENSMUST00000110093,"RAB3A, member RAS oncogene family(Rab3a)",Mus musculus,"mmu04721:Synaptic vesicle cycle,mmu04911:Insulin secretion,"
ENSMUST00000118535,"RAB4A, member RAS oncogene family(Rab4a)",Mus musculus,"mmu04144:Endocytosis,"
ENSMUST00000107364,"RAB5C, member RAS oncogene family(Rab5c)",Mus musculus,"mmu04014:Ras signaling pathway,mmu04144:Endocytosis,mmu04145:Phagosome,mmu04962:Vasopressin-regulated water reabsorption,mmu05132:Salmonella infection,mmu05146:Amoebiasis,mmu05152:Tuberculosis,"
ENSMUST00000034766,RAR-related orphan receptor alpha(Rora),Mus musculus,"mmu04659:Th17 cell differentiation,mmu04710:Circadian rhythm,mmu05017:Spinocerebellar ataxia,mmu05321:Inflammatory bowel disease,"
ENSMUST00000117551,RAS p21 protein activator 3(Rasa3),Mus musculus,"mmu04014:Ras signaling pathway,"
ENSMUST00000156722,RAS protein activator like 1 (GAP1 like)(Rasal1),Mus musculus,"mmu04014:Ras signaling pathway,"
ENSMUST00000062405,"RAS, dexamethasone-induced 1(Rasd1)",Mus musculus,"mmu04713:Circadian entrainment,mmu04934:Cushing syndrome,"
ENSMUST00000164192,"RAS, guanyl releasing protein 3(Rasgrp3)",Mus musculus,"mmu04010:MAPK signaling pathway,mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04662:B cell receptor signaling pathway,mmu05200:Pathways in cancer,"
ENSMUST00000080359,RE1-silencing transcription factor(Rest),Mus musculus,"mmu04550:Signaling pathways regulating pluripotency of stem cells,mmu05016:Huntington disease,"
ENSMUST00000119710,RIKEN cDNA 4933405O20 gene(4933405O20Rik),Mus musculus,"mmu00020:Citrate cycle (TCA cycle),mmu01100:Metabolic pathways,mmu01200:Carbon metabolism,mmu01210:2-Oxocarboxylic acid metabolism,mmu01230:Biosynthesis of amino acids,"
ENSMUST00000028814,Ras association (RalGDS/AF-6) domain family member 2(Rassf2),Mus musculus,"mmu04392:Hippo signaling pathway - multiple species,"
ENSMUST00000030787,Ras homolog enriched in brain(Rheb),Mus musculus,"mmu04072:Phospholipase D signaling pathway,mmu04140:Autophagy - animal,mmu04150:mTOR signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04152:AMPK signaling pathway,mmu04211:Longevity regulating pathway,mmu04218:Cellular senescence,mmu04714:Thermogenesis,mmu04910:Insulin signaling pathway,mmu04919:Thyroid hormone signaling pathway,mmu05163:Human cytomegalovirus infection,mmu05165:Human papillomavirus infection,mmu05168:Herpes simplex virus 1 infection,mmu05231:Choline metabolism in cancer,"
ENSMUST00000109426,Rho guanine nucleotide exchange factor (GEF) 28(Arhgef28),Mus musculus,"mmu05135:Yersinia infection,"
ENSMUST00000109529,Rous sarcoma oncogene(Src),Mus musculus,"mmu01521:EGFR tyrosine kinase inhibitor resistance,mmu01522:Endocrine resistance,mmu04012:ErbB signaling pathway,mmu04015:Rap1 signaling pathway,mmu04062:Chemokine signaling pathway,mmu04137:Mitophagy - animal,mmu04144:Endocytosis,mmu04360:Axon guidance,mmu04370:VEGF signaling pathway,mmu04510:Focal adhesion,mmu04520:Adherens junction,mmu04530:Tight junction,mmu04540:Gap junction,mmu04611:Platelet activation,mmu04613:Neutrophil extracellular trap formation,mmu04625:C-type lectin receptor signaling pathway,mmu04727:GABAergic synapse,mmu04750:Inflammatory mediator regulation of TRP channels,mmu04810:Regulation of actin cytoskeleton,mmu04912:GnRH signaling pathway,mmu04915:Estrogen signaling pathway,mmu04917:Prolactin signaling pathway,mmu04919:Thyroid hormone signaling pathway,mmu04921:Oxytocin signaling pathway,mmu04926:Relaxin signaling pathway,mmu05100:Bacterial invasion of epithelial cells,mmu05135:Yersinia infection,mmu05152:Tuberculosis,mmu05161:Hepatitis B,mmu05163:Human cytomegalovirus infection,mmu05167:Kaposi sarcoma-associated herpesvirus infection,mmu05168:Herpes simplex virus 1 infection,mmu05203:Viral carcinogenesis,mmu05205:Proteoglycans in cancer,mmu05207:Chemical carcinogenesis - receptor activation,mmu05208:Chemical carcinogenesis - reactive oxygen species,mmu05219:Bladder cancer,mmu05417:Lipid and atherosclerosis,mmu05418:Fluid shear stress and atherosclerosis,"
ENSMUST00000032165,RuvB-like protein 1(Ruvbl1),Mus musculus,"mmu04310:Wnt signaling pathway,"
ENSMUST00000029490,S-adenosylhomocysteine hydrolase-like 1(Ahcyl1),Mus musculus,"mmu00270:Cysteine and methionine metabolism,mmu01100:Metabolic pathways,"
ENSMUST00000027897,SET and MYND domain containing 2(Smyd2),Mus musculus,"mmu00310:Lysine degradation,mmu01100:Metabolic pathways,"
